,sepal_length,sepal_width,petal_length,petal_width,species,Cluster
0,5.1,3.5,1.4,0.2,Iris-setosa,Sentosa
1,4.9,3,1.4,0.2,Iris-setosa,Sentosa
2,4.7,3.2,1.3,0.2,Iris-setosa,Sentosa
3,4.6,3.1,1.5,0.2,Iris-setosa,Sentosa
4,5,3.6,1.4,0.2,Iris-setosa,Sentosa
5,5.4,3.9,1.7,0.4,Iris-setosa,Sentosa
6,4.6,3.4,1.4,0.3,Iris-setosa,Sentosa
7,5,3.4,1.5,0.2,Iris-setosa,Sentosa
8,4.4,2.9,1.4,0.2,Iris-setosa,Sentosa
9,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
10,5.4,3.7,1.5,0.2,Iris-setosa,Sentosa
11,4.8,3.4,1.6,0.2,Iris-setosa,Sentosa
12,4.8,3,1.4,0.1,Iris-setosa,Sentosa
13,4.3,3,1.1,0.1,Iris-setosa,Sentosa
14,5.8,4,1.2,0.2,Iris-setosa,Sentosa
15,5.7,4.4,1.5,0.4,Iris-setosa,Sentosa
16,5.4,3.9,1.3,0.4,Iris-setosa,Sentosa
17,5.1,3.5,1.4,0.3,Iris-setosa,Sentosa
18,5.7,3.8,1.7,0.3,Iris-setosa,Sentosa
19,5.1,3.8,1.5,0.3,Iris-setosa,Sentosa
20,5.4,3.4,1.7,0.2,Iris-setosa,Sentosa
21,5.1,3.7,1.5,0.4,Iris-setosa,Sentosa
22,4.6,3.6,1,0.2,Iris-setosa,Sentosa
23,5.1,3.3,1.7,0.5,Iris-setosa,Sentosa
24,4.8,3.4,1.9,0.2,Iris-setosa,Sentosa
25,5,3,1.6,0.2,Iris-setosa,Sentosa
26,5,3.4,1.6,0.4,Iris-setosa,Sentosa
27,5.2,3.5,1.5,0.2,Iris-setosa,Sentosa
28,5.2,3.4,1.4,0.2,Iris-setosa,Sentosa
29,4.7,3.2,1.6,0.2,Iris-setosa,Sentosa
30,4.8,3.1,1.6,0.2,Iris-setosa,Sentosa
31,5.4,3.4,1.5,0.4,Iris-setosa,Sentosa
32,5.2,4.1,1.5,0.1,Iris-setosa,Sentosa
33,5.5,4.2,1.4,0.2,Iris-setosa,Sentosa
34,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
35,5,3.2,1.2,0.2,Iris-setosa,Sentosa
36,5.5,3.5,1.3,0.2,Iris-setosa,Sentosa
37,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
38,4.4,3,1.3,0.2,Iris-setosa,Sentosa
39,5.1,3.4,1.5,0.2,Iris-setosa,Sentosa
40,5,3.5,1.3,0.3,Iris-setosa,Sentosa
41,4.5,2.3,1.3,0.3,Iris-setosa,Sentosa
42,4.4,3.2,1.3,0.2,Iris-setosa,Sentosa
43,5,3.5,1.6,0.6,Iris-setosa,Sentosa
44,5.1,3.8,1.9,0.4,Iris-setosa,Sentosa
45,4.8,3,1.4,0.3,Iris-setosa,Sentosa
46,5.1,3.8,1.6,0.2,Iris-setosa,Sentosa
47,4.6,3.2,1.4,0.2,Iris-setosa,Versicolor
48,5.3,3.7,1.5,0.2,Iris-setosa,Versicolor
49,5,3.3,1.4,0.2,Iris-setosa,Versicolor
50,7,3.2,4.7,1.4,Iris-versicolor,Versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor,Versicolor
52,6.9,3.1,4.9,1.5,Iris-versicolor,Versicolor
53,5.5,2.3,4,1.3,Iris-versicolor,Versicolor
54,6.5,2.8,4.6,1.5,Iris-versicolor,Versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor,Versicolor
56,6.3,3.3,4.7,1.6,Iris-versicolor,Versicolor
57,4.9,2.4,3.3,1,Iris-versicolor,Versicolor
58,6.6,2.9,4.6,1.3,Iris-versicolor,Versicolor
59,5.2,2.7,3.9,1.4,Iris-versicolor,Versicolor
60,5,2,3.5,1,Iris-versicolor,Versicolor
61,5.9,3,4.2,1.5,Iris-versicolor,Versicolor
62,6,2.2,4,1,Iris-versicolor,Versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor,Versicolor
64,5.6,2.9,3.6,1.3,Iris-versicolor,Versicolor
65,6.7,3.1,4.4,1.4,Iris-versicolor,Versicolor
66,5.6,3,4.5,1.5,Iris-versicolor,Versicolor
67,5.8,2.7,4.1,1,Iris-versicolor,Versicolor
68,6.2,2.2,4.5,1.5,Iris-versicolor,Versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor,Versicolor
70,5.9,3.2,4.8,1.8,Iris-versicolor,Versicolor
71,6.1,2.8,4,1.3,Iris-versicolor,Versicolor
72,6.3,2.5,4.9,1.5,Iris-versicolor,Versicolor
73,6.1,2.8,4.7,1.2,Iris-versicolor,Virginica
74,6.4,2.9,4.3,1.3,Iris-versicolor,Versicolor
75,6.6,3,4.4,1.4,Iris-versicolor,Versicolor
76,6.8,2.8,4.8,1.4,Iris-versicolor,Versicolor
77,6.7,3,5,1.7,Iris-versicolor,Versicolor
78,6,2.9,4.5,1.5,Iris-versicolor,Versicolor
79,5.7,2.6,3.5,1,Iris-versicolor,Virginica
80,5.5,2.4,3.8,1.1,Iris-versicolor,Versicolor
81,5.5,2.4,3.7,1,Iris-versicolor,Versicolor
82,5.8,2.7,3.9,1.2,Iris-versicolor,Versicolor
83,6,2.7,5.1,1.6,Iris-versicolor,Versicolor
84,5.4,3,4.5,1.5,Iris-versicolor,Versicolor
85,6,3.4,4.5,1.6,Iris-versicolor,Versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor,Versicolor
87,6.3,2.3,4.4,1.3,Iris-versicolor,Versicolor
88,5.6,3,4.1,1.3,Iris-versicolor,Versicolor
89,5.5,2.5,4,1.3,Iris-versicolor,Versicolor
90,5.5,2.6,4.4,1.2,Iris-versicolor,Versicolor
91,6.1,3,4.6,1.4,Iris-versicolor,Versicolor
92,5.8,2.6,4,1.2,Iris-versicolor,Versicolor
93,5,2.3,3.3,1,Iris-versicolor,Versicolor
94,5.6,2.7,4.2,1.3,Iris-versicolor,Versicolor
95,5.7,3,4.2,1.2,Iris-versicolor,Versicolor
96,5.7,2.9,4.2,1.3,Iris-versicolor,Virginica
97,6.2,2.9,4.3,1.3,Iris-versicolor,Virginica
98,5.1,2.5,3,1.1,Iris-versicolor,Virginica
99,5.7,2.8,4.1,1.3,Iris-versicolor,Virginica
100,6.3,3.3,6,2.5,Iris-virginica,Virginica
101,5.8,2.7,5.1,1.9,Iris-virginica,Virginica
102,7.1,3,5.9,2.1,Iris-virginica,Versicolor
103,6.3,2.9,5.6,1.8,Iris-virginica,Virginica
104,6.5,3,5.8,2.2,Iris-virginica,Virginica
105,7.6,3,6.6,2.1,Iris-virginica,Virginica
106,4.9,2.5,4.5,1.7,Iris-virginica,Virginica
107,7.3,2.9,6.3,1.8,Iris-virginica,Virginica
108,6.7,2.5,5.8,1.8,Iris-virginica,Virginica
109,7.2,3.6,6.1,2.5,Iris-virginica,Virginica
110,6.5,3.2,5.1,2,Iris-virginica,Virginica
111,6.4,2.7,5.3,1.9,Iris-virginica,Virginica
112,6.8,3,5.5,2.1,Iris-virginica,Virginica
113,5.7,2.5,5,2,Iris-virginica,Virginica
114,5.8,2.8,5.1,2.4,Iris-virginica,Virginica
115,6.4,3.2,5.3,2.3,Iris-virginica,Versicolor
116,6.5,3,5.5,1.8,Iris-virginica,Virginica
117,7.7,3.8,6.7,2.2,Iris-virginica,Virginica
118,7.7,2.6,6.9,2.3,Iris-virginica,Virginica
119,6,2.2,5,1.5,Iris-virginica,Versicolor
120,6.9,3.2,5.7,2.3,Iris-virginica,Virginica
121,5.6,2.8,4.9,2,Iris-virginica,Virginica
122,7.7,2.8,6.7,2,Iris-virginica,Versicolor
123,6.3,2.7,4.9,1.8,Iris-virginica,Versicolor
124,6.7,3.3,5.7,2.1,Iris-virginica,Virginica
125,7.2,3.2,6,1.8,Iris-virginica,Virginica
126,6.2,2.8,4.8,1.8,Iris-virginica,Virginica
127,6.1,3,4.9,1.8,Iris-virginica,Virginica
128,6.4,2.8,5.6,2.1,Iris-virginica,Virginica
129,7.2,3,5.8,1.6,Iris-virginica,Virginica
130,7.4,2.8,6.1,1.9,Iris-virginica,Virginica
131,7.9,3.8,6.4,2,Iris-virginica,Virginica
132,6.4,2.8,5.6,2.2,Iris-virginica,Virginica
133,6.3,2.8,5.1,1.5,Iris-virginica,Virginica
134,6.1,2.6,5.6,1.4,Iris-virginica,Versicolor
135,7.7,3,6.1,2.3,Iris-virginica,Virginica
136,6.3,3.4,5.6,2.4,Iris-virginica,Virginica
137,6.4,3.1,5.5,1.8,Iris-virginica,Virginica
138,6,3,4.8,1.8,Iris-virginica,Virginica
139,6.9,3.1,5.4,2.1,Iris-virginica,Virginica
140,6.7,3.1,5.6,2.4,Iris-virginica,Virginica
141,6.9,3.1,5.1,2.3,Iris-virginica,Virginica
142,5.8,2.7,5.1,1.9,Iris-virginica,Virginica
143,6.8,3.2,5.9,2.3,Iris-virginica,Virginica
144,6.7,3.3,5.7,2.5,Iris-virginica,Virginica
145,6.7,3,5.2,2.3,Iris-virginica,Virginica
146,6.3,2.5,5,1.9,Iris-virginica,Sentosa
147,6.5,3,5.2,2,Iris-virginica,Sentosa
148,6.2,3.4,5.4,2.3,Iris-virginica,Sentosa
149,5.9,3,5.1,1.8,Iris-virginica,Versicolor
